# Constructed from biom file
#OTU ID	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24
50ac31b0ab3b0ff651e1444e6c11f512	31.0	50.0	146.0	76.0	62.0	375.0	1403.0	62.0	127.0	46.0	38.0	257.0
a5692728036d30f6b5156d1aae25720f	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	18.0	0.0
15b18dbd97d58bd2499838495b8e8aa2	418.0	1660.0	360.0	1584.0	480.0	942.0	3330.0	0.0	493.0	284.0	1037.0	25.0
2efc7afb07512d3df63c84ec90c5f63c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	278.0	0.0
c7f4d644748aea3e67356ecb08f47a21	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e8bacfe7347eade129d4bb8c750d873b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0
00bfbae3355904f2644747de7ddfe7ac	21.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8d45a054ff3406f71114dcb71877a6a8	0.0	40.0	0.0	46.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0
1447d0edc5df65b259b913029169c5fe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0
931262a03bbacecd77f2098b704771a0	0.0	99.0	0.0	29.0	51.0	152.0	240.0	0.0	0.0	0.0	6.0	33.0
97c7c10d2218571845564617c83d0195	140.0	278.0	350.0	38.0	23.0	0.0	699.0	984.0	269.0	271.0	70.0	718.0
045ad36bbfcab64955f47ec27e2bda0e	0.0	0.0	3179.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6c7a81070cec9cf1ce965f024b5fd63c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0
56f9ce5a09ab1bd577f2793697f02616	0.0	74.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	54.0
16c501ffef6449aa81ddc81ebcf14fe3	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	39.0	0.0	34.0	0.0
5914c74f4e5e939295f82d20fa90802b	0.0	0.0	0.0	0.0	53.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0
a1c321051bae20964bea33a7a4f90478	0.0	0.0	85.0	0.0	0.0	0.0	399.0	0.0	0.0	47.0	0.0	0.0
a4ea76aa1975dfaa3b51075dd5821a17	26.0	137.0	142.0	25.0	78.0	59.0	146.0	205.0	161.0	0.0	78.0	96.0
c751a38dbf7dbc48d411b4e759c5352b	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
da0c9d5bb5c2f04ac5dce5a6ba201c15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
f5dfd895d8a75f2c473167c7f268df6c	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45b125cb12145cbd84f572a1f7d47f6e	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fad7cf1faeb3183ac81327b91fe6d846	0.0	26.0	119.0	0.0	0.0	64.0	0.0	0.0	151.0	37.0	35.0	96.0
792846ed8336986eea14f4d0b661bbb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	874.0
0f6db91d7183064a2f336fbb203eb64a	0.0	244.0	360.0	109.0	0.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0
1a56bdbb34ea95c5405611636525244b	115.0	56.0	106.0	52.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0
510f648cbc7f0ac550f49e729b7a35d2	0.0	26.0	0.0	0.0	0.0	0.0	401.0	0.0	0.0	0.0	0.0	0.0
11fab6b257c40c70fc56f448a4c12511	26.0	29.0	38.0	44.0	200.0	28.0	0.0	0.0	25.0	0.0	0.0	0.0
1567e7c272253848012d8cafbe052477	1101.0	1073.0	794.0	1124.0	22468.0	437.0	22957.0	4350.0	513.0	965.0	626.0	11624.0
658e4fa09162219af4c92e4092d4daa1	214.0	58.0	199.0	58.0	80.0	2118.0	27.0	0.0	0.0	24.0	0.0	274.0
e0c43bc04838c8e8b915349fa1e16f91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0
338f25205a5db00b95e53b5af57f6961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0
4be3f0545d46a4ede888c5aa9c908d51	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	37.0	0.0	0.0	0.0
dd77bc3aceec8eb0486ff7d69c52a9a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	53.0	0.0	0.0	66.0
ad4e0d5cf6048610e454e7fa5d3921b9	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0
8c5199893e21361d0430afc74f418f6d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0
256ab336cb8de8c6e41dd067b63890d2	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0
1aee01da9aa7eacbc92d1693aa92147e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.0	0.0
33222219c7a939bd37fba0084168ab30	188.0	524.0	21.0	197.0	111.0	116.0	381.0	0.0	307.0	482.0	79.0	86.0
3678f8e2881ba5c3efed2aea95fb5419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	33.0
6fc86040f550c18c40b79fb07d9fb975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	30.0
11c7ed3a85503cfbbfcb441dadca2f51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0
c5885b67b57b712bd177ba78a1e8f62c	0.0	0.0	0.0	0.0	1479.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1c0ec677e2fdd798decf6c97d331cc4b	0.0	0.0	86.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0
47f4de5b1274d779f6d35fb9bf511048	15621.0	385.0	0.0	143.0	0.0	0.0	0.0	3305.0	2704.0	0.0	0.0	0.0
570a17408a9a96cbe4b0d42e4f2a4004	0.0	0.0	0.0	0.0	0.0	0.0	317.0	0.0	0.0	0.0	0.0	0.0
e6a22bbe388c29bc075fb858e6fbf206	0.0	41.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f5c3fd3515a58dafd801a899e1e75599	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
