Isolate,Slope,Max,Treatment,Type,Test
Agrococcus jenensis,0.300453775,0.312,0,Bacteria,ControlP
Agrococcus jenensis,0.303162299,0.465,0,Bacteria,ControlP
Agrococcus jenensis,0.307653235,0.318,0,Bacteria,ControlP
Agrococcus jenensis,0.349658044,0.645,0,Bacteria,ControlP
Agrococcus jenensis,,,10,Bacteria,S
Agrococcus jenensis,,,10,Bacteria,S
Agrococcus jenensis,,,10,Bacteria,S
Agrococcus jenensis,,,10,Bacteria,S
Agrococcus jenensis,0.140627736,0.323,2.5,Bacteria,S
Agrococcus jenensis,0.152278416,0.35,2.5,Bacteria,S
Agrococcus jenensis,0.187015015,0.352,2.5,Bacteria,S
Agrococcus jenensis,0.268792948,0.649,2.5,Bacteria,S
Agrococcus jenensis,,0.532,5,Bacteria,S
Agrococcus jenensis,0.088664389,0.431,5,Bacteria,S
Agrococcus jenensis,0.10671545,0.534,5,Bacteria,S
Agrococcus jenensis,0.250920246,0.612,5,Bacteria,S
Agrococcus jenensis,0.221472421,0.304,6.5,Bacteria,pH
Agrococcus jenensis,0.256201379,0.308,6.5,Bacteria,pH
Agrococcus jenensis,0.30643186,0.64,6.5,Bacteria,pH
Agrococcus jenensis,0.307434755,0.299,6.5,Bacteria,pH
Agrococcus jenensis,0.254083737,0.321,7,Bacteria,pH
Agrococcus jenensis,0.25548479,0.304,7,Bacteria,pH
Agrococcus jenensis,0.260345784,0.636,7,Bacteria,pH
Agrococcus jenensis,0.265237934,0.306,7,Bacteria,pH
Agrococcus jenensis,0.114480036,0.35,7.5,Bacteria,S
Agrococcus jenensis,0.133995276,0.484,7.5,Bacteria,S
Agrococcus jenensis,0.136370635,0.492,7.5,Bacteria,S
Agrococcus jenensis,0.152756776,0.839,7.5,Bacteria,S
Agrococcus jenensis,0.259810623,0.331,7.5,Bacteria,pH
Agrococcus jenensis,0.307952390,0.717,7.5,Bacteria,pH
Agrococcus jenensis,0.26612987,0.326,7.5,Bacteria,pH
Agrococcus jenensis,0.275982954,0.326,7.5,Bacteria,pH
Agrococcus jenensis,0.25000375,0.331,8,Bacteria,pH
Agrococcus jenensis,0.26577483,0.331,8,Bacteria,pH
Agrococcus jenensis,0.300872285,0.321,8,Bacteria,pH
Agrococcus jenensis,0.354243599,0.63,8,Bacteria,pH
Alternaria sorghi,0.241116264,0.498,0,Fungi,ControlP
Alternaria sorghi,0.262998696,0.455,0,Fungi,ControlP
Alternaria sorghi,0.265406153,0.49,0,Fungi,ControlP
Alternaria sorghi,0.278617108,0.482,0,Fungi,ControlP
Alternaria sorghi,,,10,Fungi,S
Alternaria sorghi,,,10,Fungi,S
Alternaria sorghi,,,10,Fungi,S
Alternaria sorghi,,,10,Fungi,S
Alternaria sorghi,,0.482,2.5,Fungi,S
Alternaria sorghi,0.213660527,0.516,2.5,Fungi,S
Alternaria sorghi,0.130310216,0.856,2.5,Fungi,S
Alternaria sorghi,0.282627001,0.887,2.5,Fungi,S
Alternaria sorghi,,,5,Fungi,S
Alternaria sorghi,,,5,Fungi,S
Alternaria sorghi,,,5,Fungi,S
Alternaria sorghi,,,5,Fungi,S
Alternaria sorghi,0.234805905,0.422,6.5,Fungi,pH
Alternaria sorghi,0.106651465,0.5,6.5,Fungi,pH
Alternaria sorghi,0.133013055,0.708,6.5,Fungi,pH
Alternaria sorghi,0.195786665,0.752,6.5,Fungi,pH
Alternaria sorghi,0.176616466,0.585,7,Fungi,pH
Alternaria sorghi,0.299225175,0.536,7,Fungi,pH
Alternaria sorghi,0.298719958,0.779,7,Fungi,pH
Alternaria sorghi,0.287726759,0.762,7,Fungi,pH
Alternaria sorghi,0.334394209,0.466,7.5,Fungi,pH
Alternaria sorghi,0.267270651,0.534,7.5,Fungi,pH
Alternaria sorghi,0.246042865,0.768,7.5,Fungi,pH
Alternaria sorghi,0.205347221,0.553,7.5,Fungi,pH
Alternaria sorghi,,,7.5,Fungi,S
Alternaria sorghi,,,7.5,Fungi,S
Alternaria sorghi,,,7.5,Fungi,S
Alternaria sorghi,,,7.5,Fungi,S
Alternaria sorghi,0.166940452,0.293,8,Fungi,pH
Alternaria sorghi,0.208459803,0.316,8,Fungi,pH
Alternaria sorghi,0.173806972,0.578,8,Fungi,pH
Alternaria sorghi,0.262016784,0.781,8,Fungi,pH
Aspergillus iizukae,0.283274023,0.457,0,Fungi,ControlP
Aspergillus iizukae,0.258783119,0.472,0,Fungi,ControlP
Aspergillus iizukae,0.293368432,0.472,0,Fungi,ControlP
Aspergillus iizukae,0.301028240,0.814,0,Fungi,ControlP
Aspergillus iizukae,0.257018414,0.494,6.5,Fungi,pH
Aspergillus iizukae,0.27144515,0.493,6.5,Fungi,pH
Aspergillus iizukae,0.262002853,0.487,6.5,Fungi,pH
Aspergillus iizukae,0.243728327,0.54,6.5,Fungi,pH
Aspergillus iizukae,0.279667720,0.485,7,Fungi,pH
Aspergillus iizukae,0.299173153,0.529,7,Fungi,pH
Aspergillus iizukae,0.276596699,0.514,7,Fungi,pH
Aspergillus iizukae,0.307031506,0.523,7,Fungi,pH
Aspergillus iizukae,0.261877863,0.44,7.5,Fungi,pH
Aspergillus iizukae,0.254337566,0.446,7.5,Fungi,pH
Aspergillus iizukae,0.293480218,0.733,7.5,Fungi,pH
Aspergillus iizukae,0.187021038,0.741,7.5,Fungi,pH
Aspergillus iizukae,0.231741308,0.419,8,Fungi,pH
Aspergillus iizukae,0.154072175,0.437,8,Fungi,pH
Aspergillus iizukae,0.165402859,0.444,8,Fungi,pH
Aspergillus iizukae,0.173409224,0.583,8,Fungi,pH
Bacillus thuringiensis,0.504217388,0.299,0,Bacteria,ControlP
Bacillus thuringiensis,0.489092361,0.306,0,Bacteria,ControlP
Bacillus thuringiensis,0.529382066,0.434,0,Bacteria,ControlP
Bacillus thuringiensis,0.508093368,0.57,0,Bacteria,ControlP
Bacillus thuringiensis,,,10,Bacteria,S
Bacillus thuringiensis,,,10,Bacteria,S
Bacillus thuringiensis,,,10,Bacteria,S
Bacillus thuringiensis,,,10,Bacteria,S
Bacillus thuringiensis,0.228650329,0.561,2.5,Bacteria,S
Bacillus thuringiensis,0.24948747,0.308,2.5,Bacteria,S
Bacillus thuringiensis,0.271889664,0.301,2.5,Bacteria,S
Bacillus thuringiensis,0.278581187,0.311,2.5,Bacteria,S
Bacillus thuringiensis,0.172217917,0.329,5,Bacteria,S
Bacillus thuringiensis,0.182769362,0.323,5,Bacteria,S
Bacillus thuringiensis,0.266716534,0.459,5,Bacteria,S
Bacillus thuringiensis,0.3038089,0.502,5,Bacteria,S
Bacillus thuringiensis,0.277804578,0.343,6.5,Bacteria,pH
Bacillus thuringiensis,0.231783325,0.32,6.5,Bacteria,pH
Bacillus thuringiensis,0.250057089,0.341,6.5,Bacteria,pH
Bacillus thuringiensis,0.186345246,0.556,6.5,Bacteria,pH
Bacillus thuringiensis,0.264633757,0.356,7,Bacteria,pH
Bacillus thuringiensis,0.210372036,0.335,7,Bacteria,pH
Bacillus thuringiensis,0.393207868,0.45,7,Bacteria,pH
Bacillus thuringiensis,0.401183809,0.574,7,Bacteria,pH
Bacillus thuringiensis,0.178514841,0.556,7.5,Bacteria,pH
Bacillus thuringiensis,0.203317833,0.325,7.5,Bacteria,pH
Bacillus thuringiensis,0.217386217,0.31,7.5,Bacteria,pH
Bacillus thuringiensis,0.268697453,0.322,7.5,Bacteria,pH
Bacillus thuringiensis,,,7.5,Bacteria,S
Bacillus thuringiensis,,,7.5,Bacteria,S
Bacillus thuringiensis,,,7.5,Bacteria,S
Bacillus thuringiensis,,,7.5,Bacteria,S
Bacillus thuringiensis,0.177122325,0.292,8,Bacteria,pH
Bacillus thuringiensis,0.217197398,0.299,8,Bacteria,pH
Bacillus thuringiensis,0.177827851,0.297,8,Bacteria,pH
Bacillus thuringiensis,0.187317300,0.316,8,Bacteria,pH
Cladosporium cladosporioides,0.272713369,0.443,0,Fungi,ControlP
Cladosporium cladosporioides,0.247797708,0.461,0,Fungi,ControlP
Cladosporium cladosporioides,0.226234382,0.485,0,Fungi,ControlP
Cladosporium cladosporioides,0.280752344,0.478,0,Fungi,ControlP
Cladosporium cladosporioides,0.195572656,0.431,6.5,Fungi,pH
Cladosporium cladosporioides,0.225308840,0.538,6.5,Fungi,pH
Cladosporium cladosporioides,0.204839479,0.532,6.5,Fungi,pH
Cladosporium cladosporioides,0.187682854,0.825,6.5,Fungi,pH
Cladosporium cladosporioides,0.254257074,0.514,7,Fungi,pH
Cladosporium cladosporioides,0.214977964,0.546,7,Fungi,pH
Cladosporium cladosporioides,0.191214320,0.853,7,Fungi,pH
Cladosporium cladosporioides,0.212779702,0.778,7,Fungi,pH
Cladosporium cladosporioides,0.196990594,0.46,7.5,Fungi,pH
Cladosporium cladosporioides,0.251291054,0.506,7.5,Fungi,pH
Cladosporium cladosporioides,0.233312281,0.568,7.5,Fungi,pH
Cladosporium cladosporioides,0.200656286,0.741,7.5,Fungi,pH
Cladosporium cladosporioides,0.161277984,0.352,8,Fungi,pH
Cladosporium cladosporioides,0.196249167,0.388,8,Fungi,pH
Cladosporium cladosporioides,0.152947757,0.415,8,Fungi,pH
Cladosporium cladosporioides,0.150539084,0.725,8,Fungi,pH
Curvularia inaequalis,0.20688196,0.401,0,Fungi,ControlP
Curvularia inaequalis,0.21933159,0.415,0,Fungi,ControlP
Curvularia inaequalis,0.20478595,0.404,0,Fungi,ControlP
Curvularia inaequalis,0.20808020,0.439,0,Fungi,ControlP
Curvularia inaequalis,,,10,Fungi,S
Curvularia inaequalis,,,10,Fungi,S
Curvularia inaequalis,,,10,Fungi,S
Curvularia inaequalis,,,10,Fungi,S
Curvularia inaequalis,0.19221307,0.582,2.5,Fungi,S
Curvularia inaequalis,0.23132317,0.472,2.5,Fungi,S
Curvularia inaequalis,0.23113453,0.553,2.5,Fungi,S
Curvularia inaequalis,0.23686235,0.511,2.5,Fungi,S
Curvularia inaequalis,0.12278248,0.688,5,Fungi,S
Curvularia inaequalis,0.09164111,0.586,5,Fungi,S
Curvularia inaequalis,0.11493351,0.59,5,Fungi,S
Curvularia inaequalis,0.19923692,0.926,5,Fungi,S
Curvularia inaequalis,0.15624044,0.376,6.5,Fungi,pH
Curvularia inaequalis,0.15277860,0.397,6.5,Fungi,pH
Curvularia inaequalis,0.17116104,0.605,6.5,Fungi,pH
Curvularia inaequalis,0.14864415,0.688,6.5,Fungi,pH
Curvularia inaequalis,0.2591102,0.441,7,Fungi,pH
Curvularia inaequalis,0.21965279,0.442,7,Fungi,pH
Curvularia inaequalis,0.21383477,0.465,7,Fungi,pH
Curvularia inaequalis,0.19994512,0.725,7,Fungi,pH
Curvularia inaequalis,0.1450813,0.637,7.5,Fungi,S
Curvularia inaequalis,0.08275713,0.969,7.5,Fungi,S
Curvularia inaequalis,0.03375496,0.552,7.5,Fungi,S
Curvularia inaequalis,0.12513478,1.048,7.5,Fungi,S
Curvularia inaequalis,0.19775988,0.427,7.5,Fungi,pH
Curvularia inaequalis,0.19005114,0.44,7.5,Fungi,pH
Curvularia inaequalis,0.19190368,0.449,7.5,Fungi,pH
Curvularia inaequalis,0.19400395,0.46,7.5,Fungi,pH
Curvularia inaequalis,0.18592507,0.382,8,Fungi,pH
Curvularia inaequalis,0.17209805,0.368,8,Fungi,pH
Curvularia inaequalis,0.18602740,0.371,8,Fungi,pH
Curvularia inaequalis,0.18432578,0.391,8,Fungi,pH
Lysinibacillus xylanilyticus,0.2645594,0.395,0,Bacteria,ControlP
Lysinibacillus xylanilyticus,0.2689376,0.383,0,Bacteria,ControlP
Lysinibacillus xylanilyticus,0.3204145,0.4,0,Bacteria,ControlP
Lysinibacillus xylanilyticus,0.3952139,0.398,0,Bacteria,ControlP
Lysinibacillus xylanilyticus,0.3174264,0.489,10,Bacteria,S
Lysinibacillus xylanilyticus,0.3320165,0.564,10,Bacteria,S
Lysinibacillus xylanilyticus,0.3356404,1.197,10,Bacteria,S
Lysinibacillus xylanilyticus,0.4327221,0.654,10,Bacteria,S
Lysinibacillus xylanilyticus,0.3285073,0.418,2.5,Bacteria,S
Lysinibacillus xylanilyticus,0.3777846,0.445,2.5,Bacteria,S
Lysinibacillus xylanilyticus,0.3842678,0.416,2.5,Bacteria,S
Lysinibacillus xylanilyticus,0.4154033,0.465,2.5,Bacteria,S
Lysinibacillus xylanilyticus,0.2159355,0.575,5,Bacteria,S
Lysinibacillus xylanilyticus,0.3187776,0.503,5,Bacteria,S
Lysinibacillus xylanilyticus,0.3973007,0.512,5,Bacteria,S
Lysinibacillus xylanilyticus,0.4069067,0.727,5,Bacteria,S
Lysinibacillus xylanilyticus,0.2813198,0.317,6.5,Bacteria,pH
Lysinibacillus xylanilyticus,0.2936995,0.336,6.5,Bacteria,pH
Lysinibacillus xylanilyticus,0.3220609,0.353,6.5,Bacteria,pH
Lysinibacillus xylanilyticus,0.4144368,0.99,6.5,Bacteria,pH
Lysinibacillus xylanilyticus,0.2901217,0.388,7,Bacteria,pH
Lysinibacillus xylanilyticus,0.3099591,0.417,7,Bacteria,pH
Lysinibacillus xylanilyticus,0.3240568,0.374,7,Bacteria,pH
Lysinibacillus xylanilyticus,0.3522983,0.965,7,Bacteria,pH
Lysinibacillus xylanilyticus,0.3010754,0.439,7.5,Bacteria,pH
Lysinibacillus xylanilyticus,0.3354052,0.448,7.5,Bacteria,pH
Lysinibacillus xylanilyticus,0.336997,0.528,7.5,Bacteria,pH
Lysinibacillus xylanilyticus,0.348489,0.447,7.5,Bacteria,pH
Lysinibacillus xylanilyticus,0.2655278,0.485,7.5,Bacteria,S
Lysinibacillus xylanilyticus,0.2964187,0.491,7.5,Bacteria,S
Lysinibacillus xylanilyticus,0.3380779,0.877,7.5,Bacteria,S
Lysinibacillus xylanilyticus,0.4254899,1.045,7.5,Bacteria,S
Lysinibacillus xylanilyticus,0.2382595,0.453,8,Bacteria,pH
Lysinibacillus xylanilyticus,0.2737956,0.548,8,Bacteria,pH
Lysinibacillus xylanilyticus,0.2795381,0.511,8,Bacteria,pH
Lysinibacillus xylanilyticus,0.2807121,0.432,8,Bacteria,pH
Mortierella alpina,0.225989804,0.339,0,Fungi,ControlP
Mortierella alpina,0.226964739,0.385,0,Fungi,ControlP
Mortierella alpina,0.224153121,0.44,0,Fungi,ControlP
Mortierella alpina,0.27966772,0.393,0,Fungi,ControlP
Mortierella alpina,0.167309635,0.682,10,Fungi,S
Mortierella alpina,0.143730897,0.735,10,Fungi,S
Mortierella alpina,0.180493756,0.666,10,Fungi,S
Mortierella alpina,0.112862879,0.613,10,Fungi,S
Mortierella alpina,0.184047714,0.536,2.5,Fungi,S
Mortierella alpina,0.140324372,0.508,2.5,Fungi,S
Mortierella alpina,0.221631456,0.618,2.5,Fungi,S
Mortierella alpina,0.144156926,1.007,2.5,Fungi,S
Mortierella alpina,0.103066297,0.667,5,Fungi,S
Mortierella alpina,0.117532949,0.798,5,Fungi,S
Mortierella alpina,0.156048466,1.081,5,Fungi,S
Mortierella alpina,0.225989804,1.014,5,Fungi,S
Mortierella alpina,0.301980959,0.314,6.5,Fungi,pH
Mortierella alpina,0.2991334,0.417,6.5,Fungi,pH
