SampleID	simpsons_dominance
sample-1	0.9790460813994150
sample-10	0.9726152713164810
sample-11	0.9720050926971340
sample-12	0.950357217750565
sample-2	0.9872597748254910
sample-3	0.9858777598776850
sample-4	0.9818507615854820
sample-5	0.9663100688577090
sample-6	0.97619646345449
sample-7	0.9671455547570100
sample-8	0.9759957438914980
sample-9	0.9741891609581690
sample-13	0.948772099579943
sample-14	0.9655806682086350
sample-15	0.9377768324014670
sample-16	0.9387052216243320
sample-17	0.937452449518057
sample-18	0.972240053400437
sample-19	0.4688487758426430
sample-20	0.3847565480114220
sample-21	0.940166220833127
sample-22	0.8339875357655460
sample-23	0.9200174867632180
sample-24	0.963667002490154
